s3,http,run
s3://sra-pub-src-8/SRR12570840/Sangue_39_S2_L004_R1_001.fastq.gz.1,https://sra-pub-src-8.s3.amazonaws.com/SRR12570840/Sangue_39_S2_L004_R1_001.fastq.gz.1,SRR12570840
s3://sra-pub-src-16/SRR12570840/Sangue_39_S2_L004_R2_001.fastq.gz.1,https://sra-pub-src-16.s3.amazonaws.com/SRR12570840/Sangue_39_S2_L004_R2_001.fastq.gz.1,SRR12570840
s3://sra-pub-src-11/SRR12570841/Sangue_39_S3_L001_R1_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570841/Sangue_39_S3_L001_R1_001.fastq.gz.1,SRR12570841
s3://sra-pub-src-11/SRR12570841/Sangue_39_S3_L001_R2_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570841/Sangue_39_S3_L001_R2_001.fastq.gz.1,SRR12570841
s3://sra-pub-src-13/SRR12570842/Sangue_4_S1_L001_R1_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570842/Sangue_4_S1_L001_R1_001.fastq.gz.1,SRR12570842
s3://sra-pub-src-13/SRR12570842/Sangue_4_S1_L001_R2_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570842/Sangue_4_S1_L001_R2_001.fastq.gz.1,SRR12570842
s3://sra-pub-src-14/SRR12570843/Sangue_4_S3_L002_R1_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570843/Sangue_4_S3_L002_R1_001.fastq.gz.1,SRR12570843
s3://sra-pub-src-14/SRR12570843/Sangue_4_S3_L002_R2_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570843/Sangue_4_S3_L002_R2_001.fastq.gz.1,SRR12570843
s3://sra-pub-src-13/SRR12570844/Sangue_4_S3_L003_R1_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570844/Sangue_4_S3_L003_R1_001.fastq.gz.1,SRR12570844
s3://sra-pub-src-13/SRR12570844/Sangue_4_S3_L003_R2_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570844/Sangue_4_S3_L003_R2_001.fastq.gz.1,SRR12570844
s3://sra-pub-src-12/SRR12570845/Sangue_4_S3_L004_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570845/Sangue_4_S3_L004_R1_001.fastq.gz.1,SRR12570845
s3://sra-pub-src-12/SRR12570845/Sangue_4_S3_L004_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570845/Sangue_4_S3_L004_R2_001.fastq.gz.1,SRR12570845
s3://sra-pub-src-12/SRR12570846/Sangue_4_S4_L001_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570846/Sangue_4_S4_L001_R1_001.fastq.gz.1,SRR12570846
s3://sra-pub-src-12/SRR12570846/Sangue_4_S4_L001_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570846/Sangue_4_S4_L001_R2_001.fastq.gz.1,SRR12570846
s3://sra-pub-src-9/SRR12570847/Sangue_4_S4_L002_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570847/Sangue_4_S4_L002_R1_001.fastq.gz.1,SRR12570847
s3://sra-pub-src-9/SRR12570847/Sangue_4_S4_L002_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570847/Sangue_4_S4_L002_R2_001.fastq.gz.1,SRR12570847
s3://sra-pub-src-12/SRR12570848/Sangue_4_S4_L003_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570848/Sangue_4_S4_L003_R1_001.fastq.gz.1,SRR12570848
s3://sra-pub-src-12/SRR12570848/Sangue_4_S4_L003_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570848/Sangue_4_S4_L003_R2_001.fastq.gz.1,SRR12570848
s3://sra-pub-src-11/SRR12570849/Sangue_4_S4_L004_R1_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570849/Sangue_4_S4_L004_R1_001.fastq.gz.1,SRR12570849
s3://sra-pub-src-11/SRR12570849/Sangue_4_S4_L004_R2_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570849/Sangue_4_S4_L004_R2_001.fastq.gz.1,SRR12570849
s3://sra-pub-src-10/SRR12570850/Sangue_4_S1_L002_R1_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570850/Sangue_4_S1_L002_R1_001.fastq.gz.1,SRR12570850
s3://sra-pub-src-10/SRR12570850/Sangue_4_S1_L002_R2_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570850/Sangue_4_S1_L002_R2_001.fastq.gz.1,SRR12570850
s3://sra-pub-src-13/SRR12570851/Sangue_4_S1_L003_R1_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570851/Sangue_4_S1_L003_R1_001.fastq.gz.1,SRR12570851
s3://sra-pub-src-13/SRR12570851/Sangue_4_S1_L003_R2_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570851/Sangue_4_S1_L003_R2_001.fastq.gz.1,SRR12570851
s3://sra-pub-src-16/SRR12570852/Sangue_4_S1_L004_R1_001.fastq.gz.1,https://sra-pub-src-16.s3.amazonaws.com/SRR12570852/Sangue_4_S1_L004_R1_001.fastq.gz.1,SRR12570852
s3://sra-pub-src-9/SRR12570852/Sangue_4_S1_L004_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570852/Sangue_4_S1_L004_R2_001.fastq.gz.1,SRR12570852
s3://sra-pub-src-14/SRR12570853/Sangue_4_S2_L001_R1_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570853/Sangue_4_S2_L001_R1_001.fastq.gz.1,SRR12570853
s3://sra-pub-src-14/SRR12570853/Sangue_4_S2_L001_R2_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570853/Sangue_4_S2_L001_R2_001.fastq.gz.1,SRR12570853
s3://sra-pub-src-12/SRR12570854/Sangue_4_S2_L002_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570854/Sangue_4_S2_L002_R1_001.fastq.gz.1,SRR12570854
s3://sra-pub-src-12/SRR12570854/Sangue_4_S2_L002_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570854/Sangue_4_S2_L002_R2_001.fastq.gz.1,SRR12570854
s3://sra-pub-src-13/SRR12570855/Sangue_4_S2_L003_R1_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570855/Sangue_4_S2_L003_R1_001.fastq.gz.1,SRR12570855
s3://sra-pub-src-13/SRR12570855/Sangue_4_S2_L003_R2_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570855/Sangue_4_S2_L003_R2_001.fastq.gz.1,SRR12570855
s3://sra-pub-src-12/SRR12570856/Sangue_4_S2_L004_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570856/Sangue_4_S2_L004_R1_001.fastq.gz.1,SRR12570856
s3://sra-pub-src-12/SRR12570856/Sangue_4_S2_L004_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570856/Sangue_4_S2_L004_R2_001.fastq.gz.1,SRR12570856
